id,model,Relevance,Coherence,Consistency,Fluency
0,bartpho_full_beam,3,4,2,3
0,bartpho_lora_beam,1,1,2,1
0,qwen_lora_beam,1,1,3,1
1,bartpho_full_beam,3,3,5,2
1,bartpho_lora_beam,3,3,5,2
1,qwen_lora_beam,2,1,3,1
2,bartpho_full_beam,2,2,4,2
2,bartpho_lora_beam,2,3,5,2
2,qwen_lora_beam,3,2,3,2
3,bartpho_full_beam,4,5,5,3
3,bartpho_lora_beam,2,4,5,3
3,qwen_lora_beam,2,1,5,1
4,bartpho_full_beam,3,3,5,2
4,bartpho_lora_beam,5,5,5,3
4,qwen_lora_beam,2,2,3,2
5,bartpho_full_beam,2,3,5,2
5,bartpho_lora_beam,4,5,5,3
5,qwen_lora_beam,4,3,5,3
6,bartpho_full_beam,2,3,1,2
6,bartpho_lora_beam,2,2,1,2
6,qwen_lora_beam,3,2,5,2
7,bartpho_full_beam,3,4,5,3
7,bartpho_lora_beam,3,4,5,3
7,qwen_lora_beam,3,4,5,5
8,bartpho_full_beam,4,5,5,5
8,bartpho_lora_beam,4,5,5,5
8,qwen_lora_beam,3,2,4,2
9,bartpho_full_beam,2,2,5,2
9,bartpho_lora_beam,3,4,5,2
9,qwen_lora_beam,3,2,5,3
10,bartpho_full_beam,4,5,5,4
10,bartpho_lora_beam,4,5,5,3
10,qwen_lora_beam,1,1,2,1
11,bartpho_full_beam,2,3,5,3
11,bartpho_lora_beam,3,5,4,4
11,qwen_lora_beam,2,3,5,3
12,bartpho_full_beam,3,3,4,2
12,bartpho_lora_beam,2,3,5,2
12,qwen_lora_beam,2,2,3,3
13,bartpho_full_beam,4,5,5,3
13,bartpho_lora_beam,2,3,5,4
13,qwen_lora_beam,2,1,3,1
14,bartpho_full_beam,3,5,5,3
14,bartpho_lora_beam,2,3,5,2
14,qwen_lora_beam,3,2,5,2
15,bartpho_full_beam,2,3,1,3
15,bartpho_lora_beam,4,5,5,4
15,qwen_lora_beam,2,2,1,3
16,bartpho_full_beam,4,5,5,3
16,bartpho_lora_beam,3,5,5,4
16,qwen_lora_beam,1,1,1,1
17,bartpho_full_beam,4,5,5,4
17,bartpho_lora_beam,4,5,5,4
17,qwen_lora_beam,3,3,2,4
18,bartpho_full_beam,4,4,5,3
18,bartpho_lora_beam,3,4,5,4
18,qwen_lora_beam,3,2,4,2
19,bartpho_full_beam,3,3,2,4
19,bartpho_lora_beam,2,3,5,3
19,qwen_lora_beam,2,1,3,1
20,bartpho_full_beam,3,5,5,2
20,bartpho_lora_beam,3,5,5,2
20,qwen_lora_beam,3,2,5,2
21,bartpho_full_beam,3,2,5,2
21,bartpho_lora_beam,4,3,4,3
21,qwen_lora_beam,3,3,5,4
22,bartpho_full_beam,3,5,5,5
22,bartpho_lora_beam,2,3,3,2
22,qwen_lora_beam,2,3,3,3
23,bartpho_full_beam,1,3,1,2
23,bartpho_lora_beam,2,2,1,2
23,qwen_lora_beam,2,1,1,2
24,bartpho_full_beam,2,5,5,3
24,bartpho_lora_beam,2,5,5,3
24,qwen_lora_beam,1,1,1,1
25,bartpho_full_beam,3,4,5,2
